Komentar,komen_Eng
wahahahahahahahahah,wahahahahahahahaha
nyabu om candu sudah,I'm already addicted to opium
nyabu ini anak,rape this child
liat cara bicara cok cerdas lho,Look how smart you talk
buah mimpi ketemu sama bang cok,dream of meeting bro
,in
kaya awal nonton tv konten di monopoli siar terus ketemu youtube kamu search jenis konten kamu mau alhasil bisa lihat generasi kenal tiktok sekarang quotkecanduanquot 4 6 jam hari lihat kondisi mental tahan terima realita yang suka banding banding generasi ayah ibu,"It's like watching TV content at the broadcast monopoly, then you find YouTube, you search for the type of content you want and the results can be seen by the current generation of people who know TikTok, ""addiction"" 4 6 hours a day, watching the mental condition of being able to accept reality, which likes to appeal to the generation of fathers and mothers"
ini prestasi salah satu komika indonesia lebih gk tuh prestasi yang lucu komedian asli macam komengindariosuleandariejarwo kwat,"Is this the achievement of one of Indonesia's comedians, or is it a funny achievement by a real comedian like Komengindariosuleandariejarwo Kwat"
tinggi si cok,tinggi si cok
ntidaku ga agama berani cok masa ntidaku lgbt mas berani,"I'm not brave enough to not be religious, but I'm not brave enough to not be LGBT"
sober apa,sober what
waras,sane
cok pernah jadi chief waktu rehap,Kok was once the chief during rehab
moga selalu lindung tuhan yesus sang kristus sang masehi sang rohullah sang illahinnaas sang malikinas sang imammahdi sang sirotolmustakim sang malikiyaumiddin milik hari balas,May you always protect the Lord Jesus the Christ the Christian the Rohullah the illahinnaas the malikinas the imammahdi the sirotolmustakim the malikiyaumiddin belong to the day of reply
yesus kristus allahkata yesus mereka aku kata kepada sungguh aaham jadi aku ada injil yohanes 858x000djawab yesus aku bangkit hidup barangsiapa percaya kepada akan hidup walaupun sudah mati injil yohanes 1125kata yesus kepada aku jalan benar hidup ada orang yang datang bapa kalau lalu aku sekira kenal aku kenal bapa sekarang kamu kenal dan kamu telah lihat injil yohanes 1467,jesus christ god said jesus they said to me really aaham so i have the gospel of yohanes 858x000d answer jesus i rose to life anyone who believes in will live even after death yohanes gospel 1125 jesus said to me the true way of life there are people who come father if i know i know the father now you know and you have seen the Gospel of John 1467
janji lama yesaya 95x000dsebab orang anak lahir kita orang putera beri kita lambang perintah di atas bahu nama sebut orang nasihat ajaib allah perkasa bapa kekal raja damaix000dfor to us a child is born to us a son is given and the government will be on his shoulders and he will be called wonderful counselor mighty god everlasting father prince of peace,yesaya's old promise 95x000dfor to us a child is born to us a son is given and the government will be on his shoulders and he will be called wonderful counselor mighty god everlasting father prince of peace
manusia terlalu fokussibuk pus diri masing masing lupa tanpa sadar cinta sekitar dan barangkali dibutuhkann ajal buat sentak,"Humans are too focused, busy pushing themselves, forgetting without realizing their love for those around them, and maybe it takes death to make them jolt"
,in
gw ngtidak suka si botak selalu ngtidak mau kalah bicara padahal wawas dya ada apa2,Girls don't like bald guys who always don't want to lose their conversation even though they don't know what's going on
kok tumbinal lu hd om,"how come your hd is tumbinal, uncle"
salam suntik bokong,Greetings butt injections
kan munafik,it's hypocritical
the host reminds me of chad squidward,the host reminds me of chad squidward
the son of sat berat bapak cok sat,"the son of sat is heavy, sir, cok sat"
ntidakak aja smpe skrg,I didn't mind until now
ketawa ntidakak om ded,laugh ntidaak om ded
mantul om,man mantle
cok jatuh kek anut stoikisme gitu mantap sih,It's really cool to fall into stoicism
fix jawabanya match sama ammar pasti orang g make narkoba g dipastiin,"fix the answer matches Ammar's, the person doesn't use drugs, it's not certain"
gw nonton kali kali anjir,I've watched it several times
seru aja liat cok,don't worry about it
sekian kali gue nyimak nih podcast,sekian kali gue nyimak nih podcast
yang anggap sampah bangsattapi omong masuk akal,who think it's trash but makes sense
like,like
moga baik bg cok,I hope you're good bro
potkes luma maya beda jelas cok dariaks bukan cuma enak,"Luna Maya's podcast is clearly different, Darius, not just delicious"
candu hambar hidup ga asik seperti di make itu gatau kapan akhir,"Life image addiction is not as fun as being forced, it doesn't know when it will end"
sedang kenang bang cok ngool podcastnya om deddy,I'm remembering Uncle Deddy's podcast
juga uang,also money
,in
cok ni emang manusia bangsattt punya masalah di buat lawak ketwanya nular bangatttt,It's true that human beings have a problem with making funny jokes that are contagious
alahh pret,ahhh pret
emang anji pernah penjara,Anji has been in prison
gw suka si cok ni gila natural,"I like this guy, he's crazy natural"
kalian bingung mw pilih mana,You are confused which one to choose
,in
gw baru nntn gw cma bs bilang you fuc lucky jungkie cok produk rehab untung jgn diresapidicerna pikir nnti kalian tersesatterutama ttg substance itu bahaya bgt dgn level,"I just watched it, I can only say you fuc lucky jungkie, rehab products are profitable, don't take it, think about it, you'll get lost, especially regarding the substance, it's very dangerous at the level"
